edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
173,N41,T_8,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
174,N42,N41,226,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
175,N42,N43,112,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
176,N42,N44,220,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
177,N42,N49,214,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
178,N42,T_7,50,99.0,9999.0,382.6,352.1,65.3,209.2,0.0209,A,123252.0
179,N42,T_8,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
180,N43,N42,112,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
181,N43,N29,212,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
182,N43,N32,76,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
183,N43,T_7,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
184,N44,N28,210,6.0,600.0,18.5,6.6,1.3,5.2,0.0086,A,104.8
185,N44,N42,220,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
186,N44,N29,115,6.0,600.0,479.2,246.8,47.6,169.5,0.2826,A,102721.7
187,N44,N45,180,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
188,N44,T_6,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
189,N45,N18,278,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
190,N45,N41,390,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
191,N45,N44,180,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
192,N45,T_6,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
193,N46,N33,207,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
194,N46,N32,134,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
195,N46,N47,240,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
196,N46,N49,125,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
197,N46,T_7,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
198,N47,N37,202,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
199,N47,N46,240,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
200,N47,N48,122,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
201,N47,T_9,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
202,N48,N38,200,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
203,N48,N39,161,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
204,N48,N47,122,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
205,N48,N49,112,12.0,1200.0,1358.9,1555.2,285.9,888.3,0.7403,C,1995080.9
206,N48,T_25,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
207,N48,T_9,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
208,N49,N42,214,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
209,N49,N46,125,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
210,N49,N40,157,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
211,N49,N48,112,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
212,N49,T_7,50,99.0,9999.0,1358.9,1555.2,285.9,888.3,0.0888,A,1995080.9
213,N49,T_8,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
214,N50,N38,207,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
215,N50,N52,107,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
216,N50,T_10,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
217,N51,N52,131,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
218,N52,N37,210,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
219,N52,N50,107,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
220,N52,N51,131,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
221,N52,N53,296,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
222,N53,N52,296,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
223,N53,N54,232,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
224,N53,N57,193,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
225,N54,N53,232,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
226,N54,N55,199,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
227,N55,N54,199,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
228,N55,N58,263,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
229,N55,N56,74,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
230,N56,N55,74,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
231,N56,N57,236,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
232,N57,N35,99,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
233,N57,N56,236,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
234,N57,N53,193,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
235,N58,N34,232,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
236,N58,N55,263,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
237,N58,N59,89,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
238,N59,N58,89,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
239,N59,N61,159,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
240,N59,N62,22,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
241,N60,N33,33,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
242,N60,N61,77,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
243,N61,N33,109,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
244,N61,N59,159,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
245,N61,N60,77,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
246,N61,N62,137,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
247,N61,GYGY,50,99.0,9999.0,286.9,403.7,73.7,223.5,0.0223,A,113409.4
248,N62,N59,22,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
249,N62,N61,137,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
250,N62,GYGY,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
251,N63,N30,140,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
252,N63,N64,110,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
253,N64,N63,110,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
