u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N47,N48,12.0,1200.0,0.0,0.0,0.0,0.0
N47,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N48,N38,6.0,600.0,0.0,0.0,0.0,0.0
N48,N39,6.0,600.0,0.0,0.0,0.0,0.0
N48,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N48,N49,12.0,1200.0,0.8156,0.3712,-0.4444,54.48
N48,T_25,99.0,9999.0,0.0,0.0,0.0,0.0
N48,T_9,99.0,9999.0,0.0,0.0,0.0,0.0
N49,N42,6.0,600.0,0.0,0.0,0.0,0.0
N49,N46,12.0,1200.0,0.0,0.0,0.0,0.0
N49,N40,6.0,600.0,0.0,0.0,0.0,0.0
N49,N48,12.0,1200.0,0.0,0.0,0.0,0.0
N49,T_7,99.0,9999.0,0.0979,0.0539,-0.044,44.99
N49,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N50,N38,6.0,600.0,0.0,0.0,0.0,0.0
N50,N52,6.0,600.0,0.0,0.0,0.0,0.0
N50,T_10,99.0,9999.0,0.0,0.0,0.0,0.0
N51,N52,6.0,600.0,0.0,0.0,0.0,0.0
N52,N37,8.0,800.0,0.0,0.0,0.0,0.0
N52,N50,6.0,600.0,0.0,0.0,0.0,0.0
N52,N51,6.0,600.0,0.0,0.0,0.0,0.0
N52,N53,8.0,800.0,0.0,0.0,0.0,0.0
N53,N52,8.0,800.0,0.0,0.0,0.0,0.0
N53,N54,8.0,800.0,0.0,0.0,0.0,0.0
N53,N57,6.0,600.0,0.0,0.0,0.0,0.0
N54,N53,8.0,800.0,0.0,0.0,0.0,0.0
N54,N55,8.0,800.0,0.0,0.0,0.0,0.0
N55,N54,8.0,800.0,0.0,0.0,0.0,0.0
N55,N58,8.0,800.0,0.0,0.0,0.0,0.0
N55,N56,6.0,600.0,0.0,0.0,0.0,0.0
N56,N55,6.0,600.0,0.0,0.0,0.0,0.0
N56,N57,6.0,600.0,0.0,0.0,0.0,0.0
N57,N35,6.0,600.0,0.0,0.0,0.0,0.0
N57,N56,6.0,600.0,0.0,0.0,0.0,0.0
N57,N53,6.0,600.0,0.0,0.0,0.0,0.0
N58,N34,6.0,600.0,0.0,0.0,0.0,0.0
N58,N55,8.0,800.0,0.0,0.0,0.0,0.0
N58,N59,8.0,800.0,0.0,0.0,0.0,0.0
N59,N58,8.0,800.0,0.0,0.0,0.0,0.0
N59,N61,8.0,800.0,0.0,0.0,0.0,0.0
N59,N62,6.0,600.0,0.0,0.0,0.0,0.0
N60,N33,8.0,800.0,0.0,0.0,0.0,0.0
N60,N61,8.0,800.0,0.1524,0.2358,0.0834,-54.72
N61,N33,8.0,800.0,0.0,0.0,0.0,0.0
N61,N59,8.0,800.0,0.0,0.0,0.0,0.0
N61,N60,8.0,800.0,0.0,0.0,0.0,0.0
N61,N62,6.0,600.0,0.0,0.0,0.0,0.0
N61,GYGY,99.0,9999.0,0.0378,0.0378,-0.0,0.11
N62,N59,6.0,600.0,0.0,0.0,0.0,0.0
N62,N61,6.0,600.0,0.0,0.0,0.0,0.0
N62,GYGY,99.0,9999.0,0.0,0.0,0.0,0.0
N63,N30,6.0,600.0,0.0,0.0,0.0,0.0
N63,N64,6.0,600.0,0.0,0.0,0.0,0.0
N64,N63,6.0,600.0,0.0,0.0,0.0,0.0
